Есть в dict, нет в html

Нету слова 单叶松 | ['dānyèsōng', '[ref]单叶果松[/ref]']
Нету слова 南湖苔草 | ['nánhú táicǎo', '[ref]南湖薹草[/ref]']
Нету слова 刺叶苔草 | ['cìyè táicǎo', '[ref]刺叶薹草[/ref]']
Нету слова 林下薹 | ['_', 'Carex alliiformis']
Нету слова 碧江薹草 | ['_', 'Carex bijiangensis']
Нету слова 短莛薹草 | ['_', 'Carex breviscapa']
Нету слова 棕红苔草 | ['zōnghóng táicǎo', '[ref]棕红薹草[/ref]']
Нету слова 褐红苔草 | ['hèhóng táicǎo', '[ref]褐红薹草[/ref]']
Нету слова 烟火薹 | ['yānhuǒtái', '[ref]十字薹草[/ref]']
Нету слова 大明山苔草 | ['dàmíngshān táicǎo', '[ref]大明山薹草[/ref]']
Нету слова 金华苔草 | ['jīnhuá táicǎo', '[ref]金华薹草[/ref]']
Нету слова 泰林兰 | ['_', 'Paorchis thailandica']
Нету слова 三阳苔草 | ['sānyáng táicǎo', '[ref]三阳薹草[/ref]']
Нету слова 发缵薹草 | ['_', 'Carex fatsuaniana']
Нету слова 依班娜 | ['yībānnà', 'Ibanez [i](гитарный бренд)[/i]']
Нету слова 乐东薹草 | ['_', 'Carex ledongensis']
Нету слова 扭喙苔草 | ['niǔhuì táicǎo', '[ref]扭喙薹草[/ref]']
Нету слова 陇南薹草 | ['_', 'Carex minxianensis']
Нету слова 脚苔 | ['jiǎotái', '[ref]柄状薹草[/ref]']
Нету слова 红鳞薹草 | ['hónglín táicǎo', '[ref]狭囊薹草[/ref]']
Нету слова 橄绿果苔草 | ['gǎnlǜguǒ táicǎo', '[ref]橄绿果薹草[/ref]']
Нету слова 半行政套房 | ['bànxíngzhèng tàofáng', 'полулюкс ([i]категория гостиничного номера[/i])']
Нету слова 华人与狗不能入内 | ['huárén yǔ gǒu bùnéng rùnèi', 'китайцам и собакам вход запрещён']
Нету слова 扁秆 | ['biǎngǎn', 'плоский стебель', 'плоскостебельный']
Нету слова 人民论坛 | ['rénmín lùntán', '«Народная трибуна» [i](теоретический журнал КПК)[/i]']
Нету слова 囊草 | ['nángcǎo', '[ref]褐果薹草[/ref]']
Нету слова 粟褐苔草 | ['sùhè táicǎo', '[ref]褐果薹草[/ref]']
Нету слова 若夫坚 | ['ruòfūjiān', 'Жовтень ([i]топоним)[/i]']
Нету слова 亚佐娃 | ['yàzuǒwá', 'Язова [i](фамилия)[/i]']
Нету слова 棉花案 | ['miánhuā’àn', 'Хлопковое дело [i](собирательное название серии уголовных дел об экономических и коррупционных злоупотреблениях', 'выявленных в Узбекской ССР', 'расследование которых проводилось в конце 1970—1980-х гг.)[/i]']
Нету слова 淡色艾尔 | ['dànsè àiěr', 'светлый эль']
Нету слова 棕色艾尔 | ['zōngsè àiěr', 'бурый эль']
Нету слова 假松叶薹草 | ['jiǎ sōngyè táicǎo', '[ref]松叶薹草[/ref]']
Нету слова 块茎苔草 | ['kuàijīng táicǎo', '[ref]高节薹草[/ref]']
Нету слова 湘西苔草 | ['xiāngxī táicǎo', '[ref]湘西薹草[/ref]']
Нету слова 贺州薹草 | ['_', 'Carex hezhouensis']
Нету слова 葱岭薹草 | ['cōnglǐng táicǎo', 'осока алайская [i](лат. Carex alajica)[/i]']
Нету слова 清凉峰苔草 | ['qīngliángfēng táicǎo', '[ref]清凉峰薹草[/ref]']
Нету слова 樟木苔草 | ['zhāngmù táicǎo', '[ref]樟木薹草[/ref]']
Нету слова 东亚苔草 | ['dōngyà táicǎo', '[ref]东亚薹草[/ref]']
Нету слова 雪霸薹草 | ['_', 'Carex ayako-maedae']
Нету слова 巴马薹草 | ['_', 'Carex bamaensis']
Нету слова 大通薹草 | ['_', 'Carex datongensis']
Нету слова 大新薹草 | ['_', 'Carex daxinensis']
Нету слова 康藏嵩草 | ['_', 'Carex littledalei']
Нету слова 植夫薹草 | ['_', 'Carex fangiana']
Нету слова 洪林薹草 | ['_', 'Carex honglinii']
Нету слова 聚穗薹草 | ['_', 'Carex longicolla']
Нету слова 多节薹草 | ['_', 'Carex nodosa']
Нету слова 福建苔草 | ['fújiàn táicǎo', '[ref]福建薹草[/ref]']
Нету слова 黄山苔草 | ['huángshān táicǎo', '[ref]黄山薹草[/ref]']
Нету слова 溪畔苔草 | ['xīpàn táicǎo', '[ref]溪畔薹草[/ref]']
Нету слова 闽清薹草 | ['_', 'Carex minquinensis']
Нету слова 睫背薹草 | ['_', 'Carex hypoblephara']
Нету слова 凤凰薹草 | ['_', 'Carex hoozanensis']
Нету слова 尤尔都斯苔草 | ['yóu’ěrdūsī táicǎo', '[ref]尤尔都斯薹草[/ref]']
Нету слова 杭州苔草 | ['hángzhōu táicǎo', '[ref]杭州薹草[/ref]']
Нету слова 朝芳苔草 | ['cháofāng táicǎo', '[ref]朝芳薹草[/ref]']
Нету слова 矩圆薹草 | ['_', 'Carex oblanceolata']
Нету слова 天目山薹草 | ['_', 'Carex tianmushanica']
Нету слова 新加坡薹草 | ['_', 'Carex sanjappae']
Нету слова 疏穗苔草 | ['shūsuì táicǎo', '[ref]丝引薹草[/ref]']
Нету слова 橘红薹草 | ['júhóng táicǎo', 'осока кирпичная [i](лат. Carex testacea)[/i]']
Нету слова 斑叶薹草 | ['_', 'Carex variegata']
Нету слова 芒髯苔草 | ['mángrán táicǎo', '[ref]芒髯薹草[/ref]']
Нету слова 药花属叶薹草 | ['yàohuāshǔyè táicǎo', '[ref]丫蕊薹草[/ref]']
Нету слова 藏南薹草 | ['_', 'Carex hemineuros']
Нету слова 密缘毛薹草 | ['mì yuánmáo táicǎo', '[ref]流苏薹草[/ref]']
Нету слова 粗毛流苏苔草 | ['cūmáo liúsū táicǎo', '[ref]粗毛流苏薹草[/ref]']
Нету слова 浙南薹草 | ['_', 'Carex austrozhejiangensis']
Нету слова 浙江薹草 | ['_', 'Carex zhejiangensis']
Нету слова 大庸薹草 | ['_', 'Carex dayuongensis']
Нету слова 斜果苔草 | ['xiéguǒ táicǎo', '[ref]斜果薹草[/ref]']
Нету слова 自电离光谱学 | ['zìdiànlí guāngpǔxué', 'автоионизационная спектроскопия']
Нету слова 单臂式 | ['dānbìshì', 'одноконсольный', 'однорычажный']
Нету слова 近陈氏薹草 | ['_', 'Carex paracheniana']
Нету слова 近陈氏苔草 | ['jìn chénshì táicǎo', '[ref]近陈氏薹草[/ref]']
Нету слова 麦克耳孙干涉仪 | ['màikè ěrsūn gānshèyí', 'интерферометр Майкельсона']
Нету слова 紫鞘薹草 | ['_', 'Carex purpureovaginalis']
Нету слова 紫鞘苔草 | ['zǐqiào táicǎo', '[ref]紫鞘薹草[/ref]']
Нету слова 书带薹 | ['shūdàitái', '[ref]书带薹草[/ref]']
Нету слова 花莛薹草 | ['_', 'Carex scaposa']
Нету слова 崖壁苔草 | ['yábì táicǎo', '[ref]崖壁薹草[/ref]']
Нету слова 无毛条穗薹草 | ['_', 'Carex subglabra']
Нету слова 廷农苔草 | ['tíngnóng táicǎo', '[ref]廷农薹草[/ref]']
Нету слова 合鳞薹草 | ['_', 'Carex tristachya var. pocilliformis']
Нету слова 菊芳苔草 | ['júfāng táicǎo', '[ref]菊芳薹草[/ref]']
Нету слова 云亿苔草 | ['yúnyì táicǎo', '[ref]云亿薹草[/ref]']
Нету слова 檀梅属 | ['_', 'род Vauquelinia']
Нету слова 夏威夷檀香 | ['_', 'Santalum ellipticum']
Нету слова 钝叶檀香桃 | ['_', 'Santalum obtusifolium']
Нету слова 腺粟木 | ['_', 'Mollugo ulei']
Нету слова 种棱粟米草 | ['_', '[ref]毯粟草[/ref]']
Нету слова 探春花属 | ['_', 'род Chrysojasminum']
Нету слова 桤叶唐棣 | ['qīyè tángdì', 'ирга ольхолистная [i](лат. Amelanchier alnifolia var. alnifolia)[/i]']
Нету слова 东亚唐棣 | ['dōngyà tángdì', 'ирга азиатская [i](лат. Amelanchier asiatica)[/i]']
Нету слова 卵叶唐棣 | ['luǎnyè tángdì', 'ирга круглолистная', 'ирга обыкновенная', 'ирга овальнолистная [i](лат. Amelanchier ovalis subsp. ovalis)[/i]']
Нету слова 棒蕊唐松草 | ['_', 'Thalictrum clavatum']
Нету слова 唐松莲花 | ['tángsōng liánhuā', 'анемонелла василистниковая', 'василистник анемоновидный [i](лат. Thalictrum thalictroides)[/i]']
Нету слова 筑紫唐松草 | ['_', 'Thalictrum kiusianum']
Нету слова 香根芹状唐松草 | ['_', 'Thalictrum osmorhizoides']
Нету слова 宽果巴布亚唐松草 | ['_', 'Thalictrum papuanum var. laticarpellum']
Нету слова 球唐松草 | ['_', 'Thalictrum watanabei']
Нету слова 谋势造势 | ['móushì zàoshì', 'планировать и создавать обстановку']
Нету слова 中国实际 | ['zhōngguó shíjì', 'китайские реалии']
Нету слова 文明型国家 | ['wénmíngxíng guójiā', 'цивилизованное государство']
Нету слова 三统一 | ['sāntǒngyī', 'принцип «трёх единств»']
Нету слова 敢打必胜 | ['gǎndǎ bìshèng', 'если вступать в бой', 'то побеждать']
Нету слова 新发展格局 | ['xīn fāzhǎn géjú', 'новая конфигурация развития']
Нету слова 泽被万代 | ['zébèi wàndài', '[ref]泽被苍生[/ref]']
Нету слова 红参果 | ['hóngshēnguǒ', 'циклокодон ланцифолиус ([i]лат. Cyclocodon lancifolius[/i])']
Нету слова 琼屑碎玉 | ['qióngxiè suìyù', '[ref]碎琼乱玉[/ref]']
Нету слова 石油勘探许可证 | ['shíyóu kāntàn xǔkězhèng', 'лицензия на поиски и разведку нефти и газа']
Нету слова 差别风化 | ['chābié fēnghuà', 'дифференциальное выветривание']
Нету слова 埃科诺姆采夫 | ['āikē’nuòmǔcǎifū', 'Экономцев [i](фамилия)[/i]']
Нету слова 埃科诺莫娃 | ['āikē’nuòmòwá', 'Экономова [i](фамилия)[/i]']
Нету слова 埃克纳季奥相茨 | ['āikè’nàjì’àoxiāngcí', 'Экнадиосянц [i](фамилия)[/i]']
Нету слова 埃克拉森 | ['āikèlāsēn', 'Эклассен [i](фамилия)[/i]']
Нету слова 埃基莫夫 | ['āijīmòfū', 'Экимов [i](фамилия)[/i]']
Нету слова 埃基翁 | ['āijīwēng', 'Экивин [i](фамилия)[/i]']
Нету слова 工资构成 | ['gōngzī gòuchéng', 'структура зарплаты']
Нету слова 埃克津普利亚罗夫 | ['āikèjīnpǔlìyàluófū', 'Экземпляров [i](фамилия)[/i]']
Нету слова 埃克扎尔霍 | ['āikèzā’ěrhuò', 'Экзархо [i](имя', 'фамилия)[/i]']
Нету слова 埃肯布拉特 | ['āikěnbùlātè', 'Экенблат [i](фамилия)[/i]']
Нету слова 埃克贝尔 | ['āikèbèi’ěr', 'Экбер [i](имя)[/i]']
Нету слова 埃卡列娃 | ['āikǎlièwá', 'Экарева [i](фамилия)[/i]']
Нету слова 艾希斯金 | ['àixīsījīn', 'Эйшискин [i](фамилия)[/i]']
Нету слова 艾申斯基娅 | ['àishēnsījīyà', 'Эйшинская [i](фамилия)[/i]']
Нету слова 艾希勒 | ['àixīlè', 'Эйхлер [i](фамилия)[/i]']
Нету слова 埃克萨诺娃 | ['āikèsà’nuòwá', 'Эксанова [i](фамилия)[/i]']
Нету слова 埃克斯特勒姆 | ['āikèsītèlèmǔ', 'Экстрем [i](фамилия)[/i]']
Нету слова 埃克斯特罗娃 | ['āikèsītèluówá', 'Экстрова [i](фамилия)[/i]']
Нету слова 埃克托娃 | ['āikètuōwá', 'Эктова [i](фамилия)[/i]']
Нету слова 埃克申格尔 | ['āikèshēn’gé’ěr', 'Экшенгер [i](фамилия)[/i]']
Нету слова 埃尔加 | ['āi’ěrjiā', 'Элга', 'Эльга [i](имя)[/i]']
Нету слова 埃尔达尔 | ['āiěrdá’ěr', 'Элдар [i](имя)[/i]']
Нету слова 埃列金 | ['āilièjīn', 'Эледин [i](имя', 'фамилия)[/i]']
Нету слова 埃莱门特 | ['āiláiméntè', 'Элемент [i](фамилия)[/i]']
Нету слова 埃伦布赫 | ['āilúnbùhè', 'Эленбух [i](фамилия)[/i]']
Нету слова 埃伦图赫 | ['āilúntúhè', 'Элентух [i](фамилия)[/i]']
Нету слова 埃列特科 | ['āiliètèkē', 'Элетко [i](фамилия)[/i]']
Нету слова 埃利阿瓦 | ['āilì’āwǎ', 'Элиава [i](фамилия)[/i]']
Нету слова 埃利阿索娃 | ['āilì’āsuǒwá', 'Элиасова [i](фамилия)[/i]']
Нету слова 唐松毛茛属 | ['tángsōng máogèn shǔ', 'род траутфеттерия [i](лат. Trautvetteria)[/i]']
Нету слова 唐松毛茛 | ['_', 'Trautvetteria palmata']
Нету слова 扁距木属 | ['biǎnjùmù shǔ', '[ref]安神木属[/ref]']
Нету слова 帕米尔糖芥 | ['pàmǐ’ěr tángjiè', 'желтушник алайский [i](лат. Erysimum alaicum)[/i]']
Нету слова 沙漠糖芥 | ['shāmò tángjiè', 'желтушник Черняева [i](лат. Erysimum czernjajevii)[/i]']
Нету слова 阿尔泰糖芥 | ['ā’ěrtài tángjiè', 'желтушник алтайский [i](лат. Erysimum flavum subsp. altaicum)[/i]']
Нету слова 厚果糖芥 | ['_', 'Erysimum pachycarpum']
Нету слова 粗壮糖芥 | ['_', 'Erysimum robustum']
Нету слова 帚枝糖芥 | ['zhǒuzhī tángjiè', 'желтушник лозный [i](лат. Erysimum virgatum)[/i]']
Нету слова 银毛棱果芥 | ['_', 'Erysimum mongolicum']
Нету слова 斜入射干涉仪 | ['xiérùshè gānshèyí', 'интерферометр наклонного падения']
Нету слова 黑鸟式侦察机 | ['hēiniǎoshì zhēnchájī', '«Чёрный дрозд»', 'Lockheed SR-71 [i](стратегический сверхзвуковой самолёт-разведчик ВВС США)[/i]']
Нету слова 西风号无人机 | ['xīfēnghào wúrénjī', 'беспилотный летательный аппарат Зефир']
Нету слова 宇航环境公司 | ['yǔháng huánjìng gōngsī', 'Аэровайронмент', 'AeroVironment [i](американский оборонный подрядчик)[/i]']
Нету слова 恒位油杯 | ['héngwèi yóubēi', 'маслёнка постоянного уровня', 'МПУ']
Нету слова 俄罗斯联邦国旗日 | ['éluósī liánbāng guóqírì', 'День Государственного флага Российской Федерации ([i]22 августа[/i])']
Нету слова 埃利博 | ['āilìbó', 'Элибо [i](имя', 'фамилия)[/i]']
Нету слова 伊丽莎 | ['yīlìshā', 'Элиза [i](имя)[/i]']
Нету слова 耶利扎罗夫 | ['yēlìzāluófū', 'Елизаров [i](фамилия)[/i]']
Нету слова 埃利兹巴尔 | ['āilìzībā’ěr', 'Элизбар [i](имя собственное)[/i]']
Нету слова 埃利姆 | ['āilìmǔ', 'Элим [i](имя)[/i]']
Нету слова 埃林松 | ['āilínsōng', 'Элинсон [i](фамилия)[/i]']
Нету слова 埃利萨什维利 | ['āilìsàshíwéilì', 'Элисашвили [i](фамилия)[/i]']
Нету слова 埃尔科宁 | ['āi’ěrkē’níng', 'Элконин [i](фамилия)[/i]']
Нету слова 埃拉季 | ['āilājì', 'Элладий [i](имя)[/i]']
Нету слова 埃兰斯基 | ['āilánsījī', 'Элланский [i](фамилия)[/i]']
Нету слова 埃伦戈恩 | ['āilúngē’ēn', 'Элленгорн [i](фамилия)[/i]']
Нету слова 埃勒斯 | ['āilèsī', 'Эллерс [i](фамилия)[/i]']
Нету слова 埃洛什维利 | ['āiluòshíwéilì', 'Элошвили [i](фамилия)[/i]']
Нету слова 埃林斯基娅 | ['āilínsījīyà', 'Эллинская [i](фамилия)[/i]']
Нету слова 金刚捣碓 | ['jīngāng dǎoduì', 'Богатырь толчёт в ступе ([i]вторая форма комплекса тайцзи-цюаня стиля Чэнь[/i])']
Нету слова 周期蛋白依赖性激酶 | ['zhōuqī dànbái yīlàixìng jīméi', 'циклинзависимые киназы ([i]группа белков[/i])']
Нету слова 二苯基氰化胂 | ['èrběnjī qínghuà shèn', 'дифенилцианарсин ([i]отравляющее вещество[/i])']
Нету слова 埃尔皮金娜 | ['āi’ěrpíjīnnà', 'Элпидина [i](фамилия)[/i]']
Нету слова 把门卸下来 | ['bǎmén xièxiàlái', 'снимать/срывать дверь с петель']
Нету слова 埃尔贝特 | ['āi’ěrbèitè', 'Эльберт [i](фамилия)[/i]']
Нету слова 埃利布斯基 | ['āilìbùsījī', 'Эльбуский [i](фамилия)[/i]']
Нету слова 埃莉维拉 | ['āilìwéilā', 'Эльвира [i](имя)[/i]']
Нету слова 埃尔戈特 | ['āi’ěrgētè', 'Эльгорт [i](фамилия)[/i]']
Нету слова 埃利达罗夫 | ['āilìdáluófū', 'Эльдаров [i](фамилия)[/i]']
Нету слова 埃利达尔哈罗夫 | ['āilìdá’ěrhāluófū', 'Эльдархаров [i](фамилия)[/i]']
Нету слова 埃尔扎 | ['āi’ěrzā', 'Эльза [i](имя)[/i]']
Нету слова 制宪议会 | ['zhìxiàn yìhuì', 'учредительное собрание']
Нету слова 负鼠目 | ['fùshǔ mù', 'опоссумы ([i]Didelphimorphia', 'отряд сумчатых[/i])']
Нету слова kb | ['_', '口爆']
Нету слова 瓦根克内希特 | ['wǎgēnkè’nèixītè', 'Вагенкнехт [i](фамилия)[/i]']
Нету слова 热泵浦激光器 | ['rèbèngpǔ jīguāngqì', 'лазер с тепловой накачкой']
Нету слова 随动激光器 | ['suídòng jīguāngqì', 'лазер', 'синхронизированный внешним сигналом']
Нету слова 基模激光器 | ['jīmó jīguāngqì', 'лазер', 'генерирующий на основной моде']
Нету слова 透镜阵列 | ['tòujìng zhènliè', 'линзовая матрица', 'линзовый растр']
Нету слова 水中萧 | ['_', 'минет в душе']
Нету слова 环保降温 | ['huánbǎo jiàngwēn', 'экологически чистое охлаждение']
Нету слова 外缸套 | ['_', 'внешняя гильза цилиндра']
Нету слова 氢分子离子 | ['qīngfēnzǐ lízǐ', 'молекулярный ион водорода']
Нету слова 彭宁阱 | ['péngníngjǐng', 'ловушка Пеннинга']
Нету слова 密录器 | ['mìlùqì', 'устройство скрытой аудио-видеозаписи']
Нету слова 轮刃 | ['lúnrèn', '[ref]环刃[/ref]']
Нету слова 圆月轮 | ['yuányuèlún', '[ref]环刃[/ref]']
Нету слова 至尊巴斯军事勋章 | ['zhìzūn bāsī jūnshì xūnzhāng', '[ref]最尊贵的巴斯勋章[/ref]']
Нету слова 埃尔金德 | ['āi’ěrjīndé', 'Элькинд [i](фамилия)[/i]']
Нету слова 埃利科宁 | ['āilìkē’níng', 'Эльконин [i](фамилия)[/i]']
Нету слова 埃利马诺夫 | ['āilìmǎ’nuòfū', 'Эльманов [i](фамилия)[/i]']
Нету слова 埃尔马尔 | ['āi’ěrmǎ’ěr', 'Эльмар [i](имя)[/i]']
Нету слова 埃尔穆尔扎 | ['āi’ěrmù’ěrzā', 'Эльмурза [i](имя)[/i]']
Нету слова 埃尔佩林娜 | ['āi’ěrpèilínnà', 'Эльперина [i](фамилия)[/i]']
Нету слова 埃尔斯贝格 | ['āi’ěrsībèigé', 'Эльсберг [i](фамилия)[/i]']
Нету слова 埃尔斯尼茨 | ['āi’ěrsīnící', 'Эльсниц [i](фамилия)[/i]']
Нету слова 埃尔特曼 | ['āi’ěrtèmàn', 'Эльтерман [i](фамилия)[/i]']
Нету слова 埃利图金 | ['āilìtújīn', 'Эльтудин [i](фамилия)[/i]']
Нету слова 埃尔弗里达 | ['āi’ěrfúlǐdá', 'Эльфрида [i](имя)[/i]']
Нету слова 埃尔霍内斯 | ['āi’ěrhuònèisī', 'Эльхонес [i](фамилия)[/i]']
Нету слова 埃利奇别科娃 | ['āilìqíbiékēwá', 'Эльчибекова [i](фамилия)[/i]']
Нету слова 埃利奇帕罗娃 | ['āilìqípàluówá', 'Эльчипарова [i](фамилия)[/i]']
Нету слова 埃尔什拉普 | ['āi’ěrshílāpǔ', 'Эльшрап [i](фамилия)[/i]']
Нету слова 埃利亚诺娃 | ['āilìyà’nuòwá', 'Эльянова [i](фамилия)[/i]']
Нету слова 埃利亚舍夫 | ['āilìyàshèfū', 'Эльяшев [i](фамилия)[/i]']
Нету слова 埃柳耶娃 | ['āiliǔyēwá', 'Элюева [i](фамилия)[/i]']
Нету слова 埃马诺娃 | ['āimǎ’nuòwá', 'Эманова [i](фамилия)[/i]']
Нету слова 埃姆金娜 | ['āimǔjīnnà', 'Эмдина [i](фамилия)[/i]']
Нету слова 埃梅利金娜 | ['āiméilìjīnnà', 'Эмельдина [i](фамилия)[/i]']
Нету слова 埃梅罗娃 | ['āiméiluówá', 'Эмерова [i](фамилия)[/i]']
Нету слова 埃姆津娜 | ['āimǔjīnnà', 'Эмзина [i](фамилия)[/i]']
Нету слова 埃米利 | ['āimǐlì', 'Эмилий [i](имя)[/i]']
Нету слова 埃米利耶夫 | ['āimǐlìyēfū', 'Эмильев [i](фамилия)[/i]']
Нету слова 埃明娜 | ['āimíngnà', 'Эмина [i](имя)[/i]']
Нету слова 埃米罗夫 | ['āimǐluófū', 'Эмиров [i](фамилия)[/i]']
Нету слова 埃姆库尔 | ['āimǔkù’ěr', 'Эмкуль [i](фамилия)[/i]']
Нету слова 埃梅里希 | ['āiméilǐxī', 'Эммерих [i](фамилия)[/i]']
Нету слова 埃莫莫娃 | ['āimòmòwá', 'Эмомова [i](фамилия)[/i]']
Нету слова 恩贝格 | ['ēnbèigé', 'Энберг [i](фамилия)[/i]']
Нету слова 恩格尔克龙 | ['ēngé’ěrkèlóng', 'Энгелькрон [i](фамилия)[/i]']
Нету слова 恩格斯贝格 | ['ēngésībèigé', 'Энгельсберг [i](фамилия)[/i]']
Нету слова 桶形座椅 | ['tǒngxíng zuòyǐ', 'ковшеобразное сиденье']
Нету слова 恩格列济 | ['ēngélièjì', 'Энглези [i](фамилия)[/i]']
Нету слова 恩戈瓦托夫 | ['ēngēwǎtuōfū', 'Энговатов [i](фамилия)[/i]']
Нету слова 恩格连 | ['ēngélián', 'Энгрен [i](фамилия)[/i]']
Нету слова 恩杰夫 | ['ēnjiéfū', 'Эндев [i](фамилия)[/i]']
Нету слова 恩杰林 | ['ēnjiélín', 'Энделин [i](фамилия)[/i]']
Нету слова 恩德林娜 | ['ēndélínnà', 'Эндлина [i](фамилия)[/i]']
Нету слова 恩泽林 | ['ēnzélín', 'Эндзелин [i](фамилия)[/i]']
Нету слова 恩泽利斯 | ['ēnzélìsī', 'Эндзелис [i](фамилия)[/i]']
Нету слова 恩德鲁普 | ['ēndélǔpǔ', 'Эндруп [i](фамилия)[/i]']
Нету слова 埃内迪 | ['āinèidí', 'Энеди [i](фамилия)[/i]']
Нету слова 埃涅耶娃 | ['āinièyēwá', 'Энеева [i](фамилия)[/i]']
Нету слова 恩克尔 | ['ēnkè’ěr', 'Энкель [i](фамилия)[/i]']
Нету слова 恩克勒 | ['ēnkèlè', 'Энклер [i](фамилия)[/i]']
Нету слова 恩纳茨基 | ['ēnnàcíjī', 'Эннатский [i](фамилия)[/i]']
Нету слова 恩尼特 | ['ēnnítè', 'Энните [i](имя)[/i]']
Нету слова 埃诺金娜 | ['āinuòjīnnà', 'Энодина [i](фамилия)[/i]']
Нету слова 恩斯基娅 | ['ēnsījīyà', 'Энская [i](фамилия)[/i]']
Нету слова 恩滕松 | ['ēnténgsōng', 'Энтензон [i](фамилия)[/i]']
Нету слова 恩蒂斯 | ['ēndìsī', 'Энтис [i](фамилия)[/i]']
Нету слова 角度光谱 | ['jiǎodù guāngpǔ', 'угловой спектр']
Нету слова 俄歇能谱 | ['éxiē néngpǔ', 'оже-электронный спектр']
Нету слова 自电离光谱 | ['zìdiànlí guāngpǔ', 'спектр автоионизации']
Нету слова 绝对黑体辐射谱 | ['juéduì hēitǐ fúshèpǔ', 'спектр абсолютно чёрного тела']
Нету слова 恩施泰因 | ['ēnshītàiyīn', 'Энштейн [i](фамилия)[/i]']
Нету слова 埃帕米农多维奇 | ['āipàmǐ’nóngduōwéiqí', 'Эпаминондович [i](фамилия)[/i]']
Нету слова 迄小 | ['qìxiǎo', '[ref]迄小儿[/ref]']
Нету слова 毛叶糖蜜草 | ['máoyè tángmìcǎo', '[ref]卷叶红毛草[/ref]']
Нету слова 黑穗红毛草 | ['_', 'Melinis repens subsp. nigricans']
Нету слова 大桃花桂 | ['_', 'Kalmiopsis fragrans']
Нету слова 水条柿属 | ['_', 'род Royena']
Нету слова 水条柿 | ['_', 'Royena lucida']
Нету слова 矮桃花心木 | ['_', 'Swietenia humilis']
Нету слова 狭叶桃金茶 | ['_', 'Archytaea angustifolia']
Нету слова 桃心榄属 | ['táoxīnlǎn shǔ', 'род окуме [i](лат. Aucoumea)[/i]']
Нету слова 陶氏苔 | ['_', 'Treubia insignis']
Нету слова 套唇苣苔 | ['_', 'Damrongia purpureolineata']
Нету слова 套冠菊 | ['_', 'Dimerostemma brasilianum']
Нету слова 异色藤槐 | ['_', 'Bowringia discolor']
Нету слова 金皮山竹 | ['_', 'Garcinia humilis']
Нету слова 栋膏树 | ['_', 'Garcinia oleosperma']
Нету слова 喙藤黄 | ['_', 'Garcinia rostrata']
Нету слова 酸云果 | ['suānyúnguǒ', 'гарциния камбоджийская [i](лат. Garcinia gummi-gutta)[/i]']
Нету слова 书带藤黄 | ['_', 'Garcinia mungotia']
Нету слова 藤菊属 | ['téngjú shǔ', 'род циссампелопсис [i](лат. Cissampelopsis)[/i]']
Нету слова 腺毛藤菊 | ['_', 'Cissampelopsis glandulosa']
Нету слова 中华藤蕨 | ['_', 'Lomariopsis chinensis']
Нету слова 花楸叶藤蕨 | ['_', 'Lomariopsis sorbifolia']
Нету слова 中亚木藤蓼 | ['zhōngyà mùténgliǎo', 'гречишка бальджуанская', 'горец бальджуанский [i](лат. Fallopia baldschuanica)[/i]']
Нету слова 疏花篱蓼 | ['_', 'Fallopia dumetorum var. pauciflora']
Нету слова 藤蓼 | ['téngliǎo', 'гречишка лазающая [i](лат. Fallopia scandens)[/i]']
Нету слова 蔓首乌 | ['mànshǒuwū', '[ref]卷茎蓼[/ref]']
Нету слова 华蔓首乌 | ['_', 'Fallopia forbesii']
Нету слова 芮草 | ['ruìcǎo', '[ref]何首乌[/ref]']
Нету слова 灰岩猩红藤珊豆 | ['_', 'Kennedia coccinea subsp. calcaria']
Нету слова 黑花藤珊豆 | ['_', 'Kennedia nigricans']
Нету слова 囊果藤珊豆 | ['_', 'Kennedia stirlingii']
Нету слова 藤尾菊属 | ['_', 'род Humbertacalia']
Нету слова 显脉藤尾菊 | ['_', 'Humbertacalia abbreviata']
Нету слова 毛叶藤尾菊 | ['_', 'Humbertacalia coursii']
Нету слова 齿叶藤尾菊 | ['_', 'Humbertacalia neoalleizettei']
Нету слова 藤尾菊 | ['_', 'Humbertacalia tomentosa']
Нету слова 五蕊阳桃 | ['_', 'Dapania pentandra']
Нету слова 海南藤芋 | ['_', 'Scindapsus maclurei']
Нету слова 药用藤芋 | ['_', 'Scindapsus officinalis']
Нету слова 梯翅蓬属 | ['tīchìpéng shǔ', 'род климакоптера [i](лат. Climacoptera)[/i]']
Нету слова 梯翅蓬 | ['tīchìpéng', 'климакоптера шерстистая', 'солянка шерстистая [i](лат. Climacoptera lanata)[/i]']
Нету слова 粗枝梯翅蓬 | ['cūzhī tīchìpéng', 'климакоптера толстоватая', 'солянка толстоватая [i](лат. Climacoptera subcrassa)[/i]']
Нету слова 二药梯牧草 | ['_', 'Phleum crypsoides']
Нету слова 工作打卡考核 | ['gōngzuò dǎkǎ kǎohé', 'система учёта рабочего времени']
Нету слова 变色提灯藓 | ['biànsè tídēngxiǎn', 'мниум Блютта [i](лат. Mnium blyttii)[/i]']
Нету слова 平肋提灯藓 | ['_', 'Mnium laevinerve']
Нету слова 具缘提灯藓 | ['jùyuán tídēngxiǎn', 'мниум окаймлённый [i](лат. Mnium marginatum)[/i]']
